2022-09-21 00:15:48 status half-configured libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:48 status unpacked libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:48 status half-installed libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:50 status half-installed libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:50 status unpacked libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:50 status unpacked libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:50 startup archives unpack
2022-09-21 00:15:51 upgrade python3-setuptools:all 20.7.0-1 20.7.0-1
2022-09-21 00:15:51 status half-configured python3-setuptools:all 20.7.0-1
2022-09-21 00:15:51 status unpacked python3-setuptools:all 20.7.0-1
2022-09-21 00:15:51 status half-installed python3-setuptools:all 20.7.0-1
2022-09-21 00:15:51 status half-installed python3-setuptools:all 20.7.0-1
2022-09-21 00:15:51 status unpacked python3-setuptools:all 20.7.0-1
2022-09-21 00:15:51 status unpacked python3-setuptools:all 20.7.0-1
2022-09-21 00:15:51 startup archives unpack
2022-09-21 00:15:51 upgrade python3-dev:amd64 3.5.1-3 3.5.1-3
2022-09-21 00:15:51 status half-configured python3-dev:amd64 3.5.1-3
2022-09-21 00:15:51 status unpacked python3-dev:amd64 3.5.1-3
2022-09-21 00:15:51 status half-installed python3-dev:amd64 3.5.1-3
2022-09-21 00:15:51 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:51 status half-installed python3-dev:amd64 3.5.1-3
2022-09-21 00:15:51 status unpacked python3-dev:amd64 3.5.1-3
2022-09-21 00:15:51 status unpacked python3-dev:amd64 3.5.1-3
2022-09-21 00:15:51 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:51 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:51 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:51 startup archives unpack
2022-09-21 00:15:52 upgrade libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.12 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:52 status half-configured libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:52 status unpacked libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:52 status half-installed libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:52 status half-installed libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:52 status unpacked libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:52 status unpacked libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:52 startup archives unpack
2022-09-21 00:15:52 upgrade manpages-dev:all 4.04-2 4.04-2
2022-09-21 00:15:52 status half-configured manpages-dev:all 4.04-2
2022-09-21 00:15:52 status unpacked manpages-dev:all 4.04-2
2022-09-21 00:15:52 status half-installed manpages-dev:all 4.04-2
2022-09-21 00:15:52 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:53 status half-installed manpages-dev:all 4.04-2
2022-09-21 00:15:54 status unpacked manpages-dev:all 4.04-2
2022-09-21 00:15:54 status unpacked manpages-dev:all 4.04-2
2022-09-21 00:15:54 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:54 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:55 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:55 startup archives unpack
2022-09-21 00:15:55 upgrade python3-pystache:all 0.5.4-5 0.5.4-5
2022-09-21 00:15:55 status half-configured python3-pystache:all 0.5.4-5
2022-09-21 00:15:55 status unpacked python3-pystache:all 0.5.4-5
